Color,Genti,Knock,Texture,Umbilical,Tactile,Density,Sugar,Result
Green,Curl,Dull,Clear,Concave,Smooth,0.697,0.460,1
Black,Curl,Depressing,Clear,Concave,Smooth,0.774,0.376,1
Black,Curl,Dull,Clear,Concave,Smooth,0.634,0.264,1
Green,Curl,Depressing,Clear,Concave,Smooth,0.608,0.318,1
White,Curl,Dull,Clear,Concave,Smooth,0.556,0.215,1
Green,Roll,Dull,Clear,Hollow,Stick,0.403,0.237,1
Black,Roll,Dull,Fuzzy,Hollow,Stick,0.481,0.149,1
Black,Roll,Dull,Clear,Hollow,Smooth,0.437,0.211,1
Black,Roll,Depressing,Fuzzy,Hollow,Smooth,0.666,0.091,0
Green,Stiff,Crispy,Clear,Flat,Stick,0.243,0.267,0
White,Stiff,Crispy,Blurry,Flat,Smooth,0.245,0.057,0
White,Curl,Dull,Blurry,Flat,Stick,0.343,0.099,0
Green,Roll,Dull,Fuzzy,Concave,Smooth,0.639,0.161,0
White,Roll,Depressing,Fuzzy,Concave,Smooth,0.657,0.198,0
Black,Roll,Dull,Clear,Hollow,Stick,0.360,0.370,0
White,Curl,Dull,Blurry,Flat,Smooth,0.593,0.042,0
Green,Curl,Depressing,Fuzzy,Hollow,Smooth,0.719,0.103,0